REGION,_REGION,TIMESLICE,FUEL,YEAR,VALUE
Globe,Globe,IN,C1_F_RL,2061,-0.0
Globe,Globe,IN,C1_F_RL,2062,-0.0
Globe,Globe,IN,C1_F_RL,2063,-0.0
Globe,Globe,IN,C1_F_RL,2064,-0.0
Globe,Globe,IN,C1_F_RL,2065,-0.0
Globe,Globe,IN,C1_F_RL,2066,-0.0
Globe,Globe,IN,C1_F_RL,2067,-0.0
Globe,Globe,IN,C1_F_RL,2068,-0.0
Globe,Globe,IN,C1_F_RL,2069,-0.0
Globe,Globe,IN,C1_F_RL,2070,-0.0
Globe,Globe,IN,C1_P_BIO,2010,-0.0
Globe,Globe,IN,C1_P_BIO,2011,-0.0
Globe,Globe,IN,C1_P_BIO,2012,-0.0
Globe,Globe,IN,C1_P_BIO,2013,-0.0
Globe,Globe,IN,C1_P_BIO,2014,-0.0
Globe,Globe,IN,C1_P_BIO,2015,-0.0
Globe,Globe,IN,C1_P_BIO,2016,-0.0
Globe,Globe,IN,C1_P_BIO,2017,-0.0
Globe,Globe,IN,C1_P_BIO,2018,-0.0
Globe,Globe,IN,C1_P_BIO,2019,-0.0
Globe,Globe,IN,C1_P_BIO,2020,-0.0
Globe,Globe,IN,C1_P_BIO,2021,-0.0
Globe,Globe,IN,C1_P_BIO,2022,-0.0
Globe,Globe,IN,C1_P_BIO,2023,-0.0
Globe,Globe,IN,C1_P_BIO,2024,-0.0
