REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2021,80.77899764
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2022,80.50687357999999
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2023,80.17677964
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2024,79.785333675
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2025,79.32546431499999
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2026,78.825921925
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2027,78.251221705
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2028,77.60605088999999
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2029,76.88106913
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2030,76.0750609
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2031,74.85904969
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2032,73.550645785
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2033,72.14959755
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2034,70.639561505
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2035,69.02098121
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2036,67.30158911
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2037,65.464282555
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2038,63.496036235
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2039,61.4005607
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2040,59.170174685000006
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2041,56.606150515
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2042,53.893226665
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2043,51.025056815
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2044,47.983838855
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2045,44.768408439999995
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2046,41.3843087905
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2047,37.805370293
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2048,34.02316744
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2049,30.030797755499997
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2050,25.811723702
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2051,21.1998030575
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2052,16.342746846500003
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2053,11.2282978855
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2054,5.843586537000001
Globe,IN,LA1_PROD,1,VFOO_P_LA1,2055,0.17510041094
Globe,IN,LA1_i,1,L_AGR_VFOOi,2010,401.26555
Globe,IN,LA1_i,1,L_AGR_VFOOi,2011,401.26555
Globe,IN,LA1_i,1,L_AGR_VFOOi,2012,401.26555
Globe,IN,LA1_i,1,L_AGR_VFOOi,2013,401.26555
Globe,IN,LA1_i,1,L_AGR_VFOOi,2014,401.26555
Globe,IN,LA1_i,1,L_AGR_VFOOi,2015,401.26555
Globe,IN,LA1_i,1,L_AGR_VFOOi,2016,401.26555
Globe,IN,LA1_i,1,L_AGR_VFOOi,2017,401.26555
Globe,IN,LA1_i,1,L_AGR_VFOOi,2018,401.26555
Globe,IN,LA1_i,1,L_AGR_VFOOi,2019,401.26555
Globe,IN,LA1_i,1,L_AGR_VFOOi,2020,401.26555
Globe,IN,LA1_i,1,L_AGR_VFOOi,2021,421.32882
Globe,IN,LA1_i,1,L_AGR_VFOOi,2022,442.39527
Globe,IN,LA1_i,1,L_AGR_VFOOi,2023,464.51503
Globe,IN,LA1_i,1,L_AGR_VFOOi,2024,487.74078
Globe,IN,LA1_i,1,L_AGR_VFOOi,2025,512.12782
Globe,IN,LA1_i,1,L_AGR_VFOOi,2026,537.73421
Globe,IN,LA1_i,1,L_AGR_VFOOi,2027,564.62092
Globe,IN,LA1_i,1,L_AGR_VFOOi,2028,592.85197
Globe,IN,LA1_i,1,L_AGR_VFOOi,2029,622.49456
Globe,IN,LA1_i,1,L_AGR_VFOOi,2030,653.61929
Globe,IN,LA1_i,1,L_AGR_VFOOi,2031,686.30026
Globe,IN,LA1_i,1,L_AGR_VFOOi,2032,720.61527
Globe,IN,LA1_i,1,L_AGR_VFOOi,2033,756.64603
Globe,IN,LA1_i,1,L_AGR_VFOOi,2034,794.47834
Globe,IN,LA1_i,1,L_AGR_VFOOi,2035,834.20225
Globe,IN,LA1_i,1,L_AGR_VFOOi,2036,875.91236
Globe,IN,LA1_i,1,L_AGR_VFOOi,2037,919.70798
Globe,IN,LA1_i,1,L_AGR_VFOOi,2038,965.69338
Globe,IN,LA1_i,1,L_AGR_VFOOi,2039,1013.9781
Globe,IN,LA1_i,1,L_AGR_VFOOi,2040,1064.677
Globe,IN,LA1_i,1,L_AGR_VFOOi,2041,1117.9108
